,model,repeat,ic,icir,ric,ricir,p_5,p_10,p_30,p_50,r_5,r_10,r_30,r_50
0,single120,0,0.057091866048912615,0.33642091275044866,0.05313187042479157,0.31702539164105925,0.5394009216589861,0.538594470046083,0.5273809523809524,0.5202534562211982,0.0554009823347586,0.11058446791982254,0.32461801989178074,0.5336724855711559
1,single120,1,0.05658539762760668,0.33668248052247585,0.052956004776172336,0.3178586951269413,0.537557603686636,0.5336405529953917,0.5279185867895545,0.5197695852534563,0.055209510500323716,0.10953113198672068,0.3249330995665458,0.5331444060292126
2,single120,2,0.05642010913865226,0.3332400610969835,0.052591750673805344,0.3144212927576376,0.5447004608294931,0.5359447004608295,0.5296466973886329,0.519147465437788,0.055952408566093056,0.11001213879087546,0.3260086941870163,0.5325470610912167
3,single120,3,0.051458036417181864,0.29835854613674995,0.047684995863292,0.2784291491566256,0.5357142857142857,0.5320276497695853,0.5254992319508448,0.5178110599078342,0.05501662113718743,0.10918197003205853,0.32348308833000905,0.5311222835895136
4,single120,4,0.055517348967144185,0.3258177837203677,0.051043123493969354,0.30364991171012173,0.53963133640553,0.534331797235023,0.528494623655914,0.5188018433179724,0.055414645178855595,0.1096588147889021,0.3253708298491847,0.5321666848486023
5,single120,5,0.05623165986089479,0.3318380048023251,0.05277622448682322,0.3154851713245953,0.5338709677419355,0.5337557603686636,0.5275729646697389,0.518963133640553,0.05486119270073637,0.10956744159452245,0.3247672561080958,0.5323638947401188
6,single120,6,0.05614954867653153,0.33092720475598447,0.052641038424989836,0.3134415635906901,0.5387096774193548,0.5337557603686636,0.5268817204301075,0.5200000000000001,0.05533767839856821,0.10956457019365264,0.3242942794241687,0.5333858648756995
7,single120,7,0.055777377204509614,0.32515845545635885,0.05145499252784243,0.3031535188379355,0.5313364055299539,0.5341013824884793,0.5259216589861752,0.519147465437788,0.054577888893837995,0.10968527831098496,0.32378483018174614,0.5325767730675866
8,single120,8,0.059198225499118115,0.34385384154066134,0.05509364227440787,0.32403613579632584,0.5453917050691244,0.5353686635944701,0.5304147465437787,0.5194009216589862,0.05602854783227758,0.10989217844251284,0.3264992032799192,0.5327963798255728
9,single120,9,0.05298528878149626,0.30632453869546733,0.04974600517265446,0.2912833435832395,0.5414746543778802,0.5337557603686636,0.5273041474654377,0.5190092165898618,0.05561578632946792,0.10952636775313067,0.32464283074395983,0.5323243460912856
